,peers_ScripCode,ResQtr,peers_Name,LTP,Change,w52hi,w52hidt,w52lo,w52lodt,Revenue,PAT,Equity,OPM,NPM,RONW,EPS,Cash_EPS,PE,PB,BV,Results_QuarterName,SHP_QuarterName,PnPGrp,INDIAN,Foreign,Public,Institution,FII,DII,NonIns,Bodies_Corporate,FACE_VALUE,ScripCode
59,500710,117.0,AKZOINDIA,2493.3,2.73,2549.95,2023-05-23T00:00:00,1685.0,2022-06-17T00:00:00,951.36,95.42,45.54,16.9,10.03,209.52,73.58,91.69,33.89,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,500820
60,532215,117.0,AXISBANK,926.95,0.65,970.45,2023-01-04T00:00:00,618.1,2022-06-23T00:00:00,23969.76,-5728.42,615.37,-12.57,-23.9,-930.89,31.13,34.86,29.78,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,532215
61,500180,117.0,HDFCBANK,1615.5,0.37,1733.95,2023-05-04T00:00:00,1271.75,2022-06-17T00:00:00,45119.36,12047.45,557.97,41.27,26.7,2159.16,79.05,79.05,20.44,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,532215
62,532174,117.0,ICICIBANK,950.55,1.14,958.0,2022-11-30T00:00:00,670.35,2022-06-17T00:00:00,31021.13,9121.87,1396.78,44.57,29.41,4.63,45.68,45.68,20.81,3.02,281.92,Mar - 23,,,,,,,,,,,2.0,532215
63,532187,117.0,INDUSINDBK,1268.2,0.36,1275.5,2023-05-24T00:00:00,763.75,2022-06-23T00:00:00,10020.71,2040.51,775.9,37.45,20.36,262.99,95.24,95.24,13.32,0.0,0.0,Mar - 23,Mar - 23,117516010.0,0.0,117516010.0,658379188.0,187891472.0,0.0,187891472.0,470487716.0,0.0,10.0,532215
64,512599,117.0,ADANIENT,2543.35,0.29,4189.55,2022-12-21T00:00:00,1017.1,2023-02-03T00:00:00,12727.42,440.88,114.0,6.13,3.46,386.74,14.23,15.38,178.73,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,512599
65,524594,116.0,ASHOKALC,93.1,1.39,105.0,2023-02-20T00:00:00,62.0,2022-06-20T00:00:00,6.39,0.07,4.6,1.49,1.1,1.52,1.32,1.41,70.53,0.0,0.0,Dec - 22,Mar - 23,2519317.0,2519317.0,0.0,2081026.0,0.0,0.0,0.0,2081026.0,0.0,10.0,512599
66,540492,117.0,STARLENT,104.7,0.1,139.0,2023-02-13T00:00:00,80.95,2022-08-08T00:00:00,4.93,0.17,21.62,4.69,3.49,0.8,0.14,0.15,747.86,0.0,0.0,Mar - 23,,24150000.0,24150000.0,0.0,19080000.0,0.0,0.0,0.0,19080000.0,0.0,5.0,512599
67,514446,116.0,LSIND,15.0,-1.96,20.5,2013-05-16T00:00:00,8.63,2012-12-21T00:00:00,0.12,-0.24,84.88,-203.39,-203.39,-0.28,-0.02,-0.02,-750.0,0.0,0.0,Dec - 22,,,,,,,,,,,1.0,512599
68,532500,117.0,MARUTI,9397.15,1.24,9768.65,2022-10-31T00:00:00,7557.6,2022-06-07T00:00:00,32048.0,2623.6,151.0,12.77,8.19,1737.48,266.46,359.92,35.27,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,532500
